1-800-DryClean of Dublin,Garment Cleaning,925-803-7597,7172 Regional St #186,Dublin,94568,"7172 Regional St #186
Dublin, CA 94568
(37.70369659300047, -121.93408868299969)"
7 Days A Week Smog,Auto Repair,510-843-0200,2234 San Pablo Ave,Berkeley,94702,"2234 San Pablo Ave
Berkeley, CA 94702
(37.86520010400045, -122.29099103299973)"
"A1 Sun, Inc. Superb Solar Installation",Solar Electric,5105265715,2015 Yolo Ave.,Berkeley,94707,"2015 Yolo Ave.
Berkeley, CA 94707
(37.886026761000494, -122.27215062999971)"
ABVI - Golden Bear Inn,Hotel,510-525-6770,1620 San Pablo Avenue,Berkeley,94702,"1620 San Pablo Avenue
Berkeley, CA 94702
(37.87470972800048, -122.2940515469997)"
"ACC Environmental Consultants, Inc.",Office/Retail,5106388400,"7977 Capwell Dr., Ste. 100",Oakland,94621,"7977 Capwell Dr., Ste. 100
Oakland, CA 94621
(37.73943002200048, -122.20371307699969)"
Ackermans Servicing Volvos,Auto Repair,5105499330,2220 San Pablo Ave,Berkeley,94702,"2220 San Pablo Ave
Berkeley, CA 94702
(37.86565965500046, -122.29114145299968)"
Acorn Wellness Center,Office/Retail,510-452-2929,"2929 Summit Street, Suite 103",Oakland,94609,"2929 Summit Street, Suite 103
Oakland, CA 94609
(37.81834841500046, -122.2648428229997)"
actual cafe,Restaurant,510.653.8386,6334 san pablo ave,Oakland,94608,"6334 san pablo ave
Oakland, CA 94608
(37.84679082600047, -122.28485697499968)"
Addis Creson,Office/Retail,510-704-7500,2515 Ninth Street,Berkeley,94710,"2515 Ninth Street
Berkeley, CA 94710
(37.860060950000445, -122.2916069259997)"
Aeronet Communications,Office/Retail,510-558-0400,834 Camelia Street,Berkeley,94710,"834 Camelia Street
Berkeley, CA 94710
(37.87769325500045, -122.30024363999968)"
Aging In Community,Office/Retail,510-549-8790,2150 Allston Way #400,Berkeley,94702,"2150 Allston Way #400
Berkeley, CA 94702
(37.86953543800047, -122.26670798099968)"
Ajanta,Restaurant,510-526-4373,1888 Solano Avenue,Berkeley,94707,"1888 Solano Avenue
Berkeley, CA 94707
(37.8914425050005, -122.27751116599973)"
Alameda County Environmental Health,Office/Retail,510-567-6700,1131 Harbor Bay Parkway,Alameda,94502,"1131 Harbor Bay Parkway
Alameda, CA 94502
(37.72714975300045, -122.23065204399973)"
Alameda County Health Care Services - Creekside Administrative Office,Office/Retail,(510) 618-2016 (Jennifer),"1000 San Leandro Blvd, Suite 300",San Leandro,94577,"1000 San Leandro Blvd, Suite 300
San Leandro, CA 94577
(37.72555493600049, -122.16238797999972)"
"Alameda County Supervisor Scott Haggerty's Office, District 1",Office/Retail,510-272-6691,"1221 Oak Street, Suite 536",Oakland,94612,"1221 Oak Street, Suite 536
Oakland, CA 94612
(37.80001730800046, -122.2635470789997)"
Alameda County Supervisor Scott Haggerty's Pleasanton Office District 1,Office/Retail,925-551-6995,4501 Pleasanton Avenue,Pleasanton,94566,"4501 Pleasanton Avenue
Pleasanton, CA 94566
(37.661707882000485, -121.87999617799971)"
Alameda Municipal Power City of Alameda,Small Manufacturer,510-748-3947,2000 Grand Street,Alameda,94501,"2000 Grand Street
Alameda, CA 94501
(37.77629722300048, -122.2528339649997)"
Alameda Natural Grocery,Office/Retail,510-865-1500,1650 Park Street,Alameda,94501,"1650 Park Street
Alameda, CA 94501
(37.76790085800047, -122.2396658289997)"
Alameda Publishing Group,Office/Retail,510-747-1060,1416 Park Avenue,Alameda,94501,"1416 Park Avenue
Alameda, CA 94501
(37.764329863000455, -122.24137611599969)"
Albany YMCA,Hotel,510-525-1130,921 Kains Avenue,Albany,94706,"921 Kains Avenue
Albany, CA 94706
(37.889820425000494, -122.29778717499971)"
Align Chiropractic Center,Office/Retail,510-654-2207,"6239 College Ave, Suite 201",Oakland,94618,"6239 College Ave, Suite 201
Oakland, CA 94618
(37.84992505700046, -122.25237565699967)"
Alma Via of Union City,Hotel,510-489-3800,33883 Alvarado Niles Road,Union City,94587,"33883 Alvarado Niles Road
Union City, CA 94587
(37.58947962900049, -122.03022625999972)"
Alta Planning + Design,Office/Retail,5105405008,2560 9th St. Suite 212,Berkeley,94710,"2560 9th St. Suite 212
Berkeley, CA 94710
(37.85958260300049, -122.29151833199973)"
Altarena Playhouse,Office/Retail,510.523.1553,1409 High Street,Alameda,94501,"1409 High Street
Alameda, CA 94501
(37.75853336300048, -122.2316592199997)"
AMEC E&I Oakland,Office/Retail,510-663-4100,"2101 Webster St., Floors 12 & 13",Oakland,,"2101 Webster St., Floors 12 &amp; 13
Oakland, CA 94612-3066
(37.809843894000494, -122.26588958599973)"
American Natural & Organic Spices,Small Manufacturer,510 - 440-1044,4180 Business Center Dr.,Fremont,94538,"4180 Business Center Dr.
Fremont, CA 94538
(37.50730943600047, -121.95267746999968)"
Amirali Rahmatian DDS Inc,Dentist,5108487239,3010 Colby Street Suite 117,Berkeley,94705,"3010 Colby Street Suite 117
Berkeley, CA 94705
(37.856217606000484, -122.25795724499972)"
AMP Printing + Graphics,Printer,925-556-9000,6955 Sierra Court,Dublin,94568,"6955 Sierra Court
Dublin, CA 94568
(37.711190144000454, -121.9132046529997)"
Anasa Yoga,Office/Retail,510-229-7106,4232 MacArthur Boulevard,Oakland,94619,"4232 MacArthur Boulevard
Oakland, CA 94619
(37.788071353000475, -122.19538667799969)"
"Angela Klein, Architect",Home Remodel,5102052594,2622 Lincoln Avenue,Alameda,94501,"2622 Lincoln Avenue
Alameda, CA 94501
(37.76426472100047, -122.2363731699997)"
Angeline's Louisiana Kitchen,Restaurant,510-548-6900,2261 Shattuck Ave,Berkeley,94704,"2261 Shattuck Ave
Berkeley, CA 94704
(37.868283944000495, -122.26766573299972)"
"Annie's, Inc.",Restaurant,510-558-7500,1610 Fifth St.,Berkeley,94710,"1610 Fifth St.
Berkeley, CA 94710
(37.87360739400049, -122.30072130799971)"
Apple Pie Maternity and Kids,Office/Retail,510-473-2765,1649 San Pablo Avenue,Berkeley,94702,"1649 San Pablo Avenue
Berkeley, CA 94702
(37.874361208000494, -122.2937491729997)"
Aramark Uniform Services,Small Manufacturer,5108359285,330 Chestnut St.,Oakland,94607,"330 Chestnut St.
Oakland, CA 94607
(37.80157954400045, -122.28781799999967)"
"Ariane Terlet, DDS",Dentist,510-548-4084,"2999 Regent Street, Suite 525",Berkeley,94705,"2999 Regent Street, Suite 525
Berkeley, CA 94705
(37.8559178860005, -122.25663604899972)"
Arizmendi Bakery & Pizzeria,Restaurant,510.547.0550,4301 San Pablo Ave.,Emeryville,94608,"4301 San Pablo Ave.
Emeryville, CA 94608
(37.83287354100048, -122.28055384899972)"
Arkin-Tilt Architects,Home Remodel,510-528-9830,"1101 8th Street , Suite 180",Berkeley,94710,"1101 8th Street , Suite 180
Berkeley, CA 94710
(37.88268080500046, -122.30004702799971)"
Art.com,Office/Retail,510-879-4729,"2100 Powell Street, Suite 1000 & 1300",Emeryville,94608,"2100 Powell Street, Suite 1000 &amp; 1300
Emeryville, CA 94608
(37.83618126800047, -122.28556660899972)"
Art's Automotive,Auto Repair,5105407093,2871 San Pablo Ave.,Berkeley,94702,"2871 San Pablo Ave.
Berkeley, CA 94702
(37.85385109100048, -122.28712748899972)"
Aspect Design Landscape,Landscaper,415-225-1211,1016 Cedar Street,Berkeley,94710,"1016 Cedar Street
Berkeley, CA 94710
(37.874893312000495, -122.29553324399973)"
Aspera Inc.,Office/Retail,510-849-2386,5900 Hollis St. Ste. E,Emeryville,94608,"5900 Hollis St. Ste. E
Emeryville, CA 94608
(37.84164101300047, -122.28980662399971)"
"Astraea Bella, LCSW",Office/Retail,510-290-8303,"445 Bellevue Ave., Suite 104",Oakland,94610,"445 Bellevue Ave., Suite 104
Oakland, CA 94610
(37.809074488000476, -122.25270380899968)"
"Atlantic Decisions, Inc.",Office/Retail,888-732-9101,6161 E Castro Valley Blvd,Castro Valley,94552,"6161 E Castro Valley Blvd
Castro Valley, CA 94552
(37.69883438400046, -122.02909912899969)"
Au Coquelet,Restaurant,510-845-0433,2000 University Avenue,Berkeley,94704,"2000 University Avenue
Berkeley, CA 94704
(37.87180318700047, -122.27056588999972)"
Audio Visual Consultants,Office/Retail,510-839-2020,"3640 Grand Avenue, Suite 105",Oakland,94610,"3640 Grand Avenue, Suite 105
Oakland, CA 94610
(37.81574034500045, -122.24564709699968)"
Aunt Mary's Cafe,Restaurant,510-601-9227,4307 Telegraph Avenue,Oakland,94609,"4307 Telegraph Avenue
Oakland, CA 94609
(37.831799754000485, -122.2637721159997)"
Aurora Theatre,Office/Retail,5108434042,2081 Addison Street,Berkeley,94704,"2081 Addison Street
Berkeley, CA 94704
(37.87113863600047, -122.2686292029997)"
AutoMate Scientific,Small Manufacturer,510-845-6283,812 Page St,Berkeley,94710,"812 Page St
Berkeley, CA 94710
(37.8762731490005, -122.3010443009997)"
Autumn Press,Printer,510.654.4545,945 Camelia Street,Berkeley,94710,"945 Camelia Street
Berkeley, CA 94710
(37.878217950000476, -122.29793522599971)"
"Avail Insurance Solutions, LLC",Office/Retail,510-599-3417,5733 Ross Street,Oakland,94618,"5733 Ross Street
Oakland, CA 94618
(37.848081832000446, -122.24582475899967)"
Bacchus Press Inc.,Printer,510-420-5800,1287 66th St.,Emeryville,94608,"1287 66th St.
Emeryville, CA 94608
(37.848033272000464, -122.29056346099969)"
Back to Earth Organic Catering,Restaurant,5106522000,1327 61st Street,Emeryville,94,"1327 61st Street
Emeryville, CA 94
(37.83717433200047, -122.30174814499969)"
Baja Taqueria,Restaurant,5105472252,4070 Piedmont Ave.,Oakland,94611,"4070 Piedmont Ave.
Oakland, CA 94611
(37.826218344000495, -122.25261641199972)"
Balance Hydrologics,Office/Retail,510-704-1000,"800 Bancroft Way, Suite 101",Berkeley,94710,"800 Bancroft Way, Suite 101
Berkeley, CA 94710
(37.86336308500046, -122.29672475899969)"
Bancroft Catering,Restaurant,510-549-1000,2680 Bancroft Way,Berkeley,94704,"2680 Bancroft Way
Berkeley, CA 94704
(37.869227211000464, -122.25498219999969)"
Bancroft Hotel,Hotel,510-549-1000,2680 Bancroft Way,Berkeley,94704,"2680 Bancroft Way
Berkeley, CA 94704
(37.869227211000464, -122.25498219999969)"
Barney's Gourmet Hamburgers - College Ave,Restaurant,(510) 601-0444,5819 College Avenue,Oakland,94618,"5819 College Avenue
Oakland, CA 94618
(37.846441531000494, -122.25201175599972)"
Barney's Gourmet Hamburgers - Piedmont Avenue,Restaurant,510-655-7180,4162 Piedmont Avenue,Oakland,94611,"4162 Piedmont Avenue
Oakland, CA 94611
(37.82694722800045, -122.25167100399972)"
Barney's Gourmet Hamburgers - Shattuck,Restaurant,510-849-2827,1600 Shattuck Avenue,Berkeley,94709,"1600 Shattuck Avenue
Berkeley, CA 94709
(37.87813740900049, -122.2691434139997)"
Barney's Gourmet Hamburgers - Solano,Restaurant,510-526-8185,1591 Solano Ave.,Berkeley,94707,"1591 Solano Ave.
Berkeley, CA 94707
(37.891100279000455, -122.2847065629997)"
Bartle Wells Associates,Office/Retail,510.6533.399,1889 Alcatraz Avenue,Berkeley,94703,"1889 Alcatraz Avenue
Berkeley, CA 94703
(37.84891061200045, -122.27033236399973)"
BASELINE,Office/Retail,510 420-8686,"5900 Hollis Street, Suite D",Emeryville,94608,"5900 Hollis Street, Suite D
Emeryville, CA 94608
(37.84164101300047, -122.28980662399971)"
Bavarian Professionals,Auto Repair,510-524-6000,1218 Seventh Street,Berkeley,94710,"1218 Seventh Street
Berkeley, CA 94710
(37.88062940700047, -122.3006617369997)"
Bay Area Economics,Office/Retail,510-547-9380,1285 66th St.,Emeryville,94608,"1285 66th St.
Emeryville, CA 94608
(37.848103152000476, -122.2902235359997)"
Bay Area Green Tours,Office/Retail,5107040379,"2150 Allston Way,Suite 280",Berkeley,94704,"2150 Allston Way,Suite 280
Berkeley, CA 94704
(37.86953543800047, -122.26670798099968)"
Bay Central Printing,Printer,510-429-9111,33401 Western Avenue,Union City,94587,"33401 Western Avenue
Union City, CA 94587
(37.596015697000496, -122.03257983599968)"
Bay Smile Dental,Dentist,5102842511,39736 Cedar Blvd,Newark,94560,"39736 Cedar Blvd
Newark, CA 94560
(37.520407185000465, -121.9956641879997)"
Be Well Integral Healing Space,Office/Retail,510-836-0200,401 29th St Suite 101,Oakland,94609,"401 29th St Suite 101
Oakland, CA 94609
(37.81772304700047, -122.26495415699969)"
Ben 'N' Nicks Bar & Grill,Restaurant,510-923-0327,5612 College Avenue,Oakland,94618,"5612 College Avenue
Oakland, CA 94618
(37.84349012000047, -122.25163722199972)"
Berkeley Chamber of Commerce,Office/Retail,510-549-7000,1834 University Ave.,Berkeley,94703,"1834 University Ave.
Berkeley, CA 94703
(37.87141351600047, -122.27359560999969)"
Berkeley City Club,Hotel,510-848-7800,2315 Durant Avenue,Berkeley,94704,"2315 Durant Avenue
Berkeley, CA 94704
(37.86736757300048, -122.2626635099997)"
Berkeley Craftsmen GCI,Home Remodel,510-549-3076,2530 Tenth Street Suite 2,Berkeley,94710,"2530 Tenth Street Suite 2
Berkeley, CA 94710
(37.85980038100047, -122.2904118569997)"
Berkeley Delivers,Office/Retail,323-963-4803,2545 Benvenue Ave #2,Berkeley,94704,"2545 Benvenue Ave #2
Berkeley, CA 94704
(37.86394344500047, -122.25500511699971)"
Berkeley Design Center,Home Remodel,510-652-6064,3195 Adeline Street,Berkeley,94703,"3195 Adeline Street
Berkeley, CA 94703
(37.85094099800045, -122.27056470599967)"
Berkeley Gardens,Landscaper,510-395-1670,2701 Maxwell Ave,Oakland,94619,"2701 Maxwell Ave
Oakland, CA 94619
(37.77799321200047, -122.19738951399972)"
Berkeley Hills Realty,Office/Retail,510-524-9888,1714 Solano Ave.,Berkeley,94707,"1714 Solano Ave.
Berkeley, CA 94707
(37.8911931560005, -122.2820286059997)"
Berkeley Minicar,Auto Repair,5108411221,2498 San Pablo Ave.,Berkeley,94702,"2498 San Pablo Ave.
Berkeley, CA 94702
(37.8611649180005, -122.2897068799997)"
Berkeley Motor Works,Auto Repair,510-528-1214,736 San Pablo Ave.,Albany,94706,"736 San Pablo Ave.
Albany, CA 94706
(37.89294016000048, -122.2998421259997)"
Berkeley Natural Grocery Company,Office/Retail,510-526-2456,1336 Gilman St.,Berkeley,94706,"1336 Gilman St.
Berkeley, CA 94706
(37.88105342600045, -122.2885049569997)"
Berkeley Periodontics and Dental Implants,Dentist,510-843-6341,"2999 Regent Street, Suite 403",Berkeley,94705,"2999 Regent Street, Suite 403
Berkeley, CA 94705
(37.8559178860005, -122.25663604899972)"
Berkwood Hedge School,Schools,5108836995,1809 Bancroft Wy.,Berkeley,94703,"1809 Bancroft Wy.
Berkeley, CA 94703
(37.86679358400045, -122.2741578509997)"
Best Graphic Image,Office/Retail,510-490-9717,44816 S. Grimmer Blvd,Fremont,94538,"44816 S. Grimmer Blvd
Fremont, CA 94538
(37.50300423700048, -121.94724490999971)"
BioDiesel Hauling,Office/Retail,510-410-5484,3521 High St,Oakland,94619,"3521 High St
Oakland, CA 94619
(37.78711553500045, -122.19535232999971)"
Blaisdell's Business Products,Office/Retail,5104833600,1645 Alvarado St,San Leandro,94577,"1645 Alvarado St
San Leandro, CA 94577
(37.718502689000445, -122.1607959959997)"
Blue Heron Catering,Restaurant,510-533-0781,3100 - 35th Avenue,Oakland,94619,"3100 - 35th Avenue
Oakland, CA 94619
(37.790696005000484, -122.20566498399972)"
Blue Sky Biofuels,Small Manufacturer,510-868-9229,851 49th Avenue,Oakland,94601,"851 49th Avenue
Oakland, CA 94601
(37.76640376500046, -122.21385754499971)"
Bobby G's Pizzeria,Restaurant,510-665-8866,2072 University Ave.,Berkeley,94704,"2072 University Ave.
Berkeley, CA 94704
(37.87199998700049, -122.26905043699969)"
Body Mind & Spirit Massage Therapy Center,Office/Retail,510 547-6716,6206 Claremont Ave,Oakland,94618,"6206 Claremont Ave
Oakland, CA 94618
(37.84958923200048, -122.25211144699972)"
Borden Lighting,Small Manufacturer,510-357-0171,999 Montague St.,San Leandro,94577,"999 Montague St.
San Leandro, CA 94577
(37.710316073000456, -122.15759709699972)"
Bo's Imports,Auto Repair,510 784-0158,28184 Industrial Blvd,Hayward,94545,"28184 Industrial Blvd
Hayward, CA 94545
(37.61977623000047, -122.09811585799969)"
Bregante + Company LLP,Office/Retail,9254160550,"4309 Hacienda Dr., Ste. 400",Pleasanton,94588,"4309 Hacienda Dr., Ste. 400
Pleasanton, CA 94588
(37.691688841000484, -121.89467574999969)"
Brewed Awakening,Restaurant,5105408865,1807 Euclid Ave.,Berkeley,94709,"1807 Euclid Ave.
Berkeley, CA 94709
(37.87590912900049, -122.26025058899972)"
Burns Employee Benefits,Office/Retail,510-459-0657,5653 Maxwelton Road,Oakland,94618,"5653 Maxwelton Road
Oakland, CA 94618
(37.833302770000444, -122.22491992999971)"
Cactus Taqueria - College,Restaurant,510-658-6180,5642 College Ave,Oakland,94609,"5642 College Ave
Oakland, CA 94609
(37.843908840000495, -122.25167201999972)"
Cactus Taqueria - Solano,Restaurant,5105281881,1881 Solano Avenue,Berkeley,94707,"1881 Solano Avenue
Berkeley, CA 94707
(37.89147741400046, -122.2778121069997)"
Cafe Gabriela,Restaurant,(510)763-2233,"988 Broadway, Unit 169",Oakland,94607,"988 Broadway, Unit 169
Oakland, CA 94607
(37.801406785000495, -122.27296140299973)"
Cafe Leila,Restaurant,510-525-7544,1724 San Pablo Avenue,Berkeley,94702,"1724 San Pablo Avenue
Berkeley, CA 94702
(37.87251028000048, -122.29335156099972)"
Cafe Tibet,Restaurant,510-548-5553,2020 University Avenue,Berkeley,94704,"2020 University Avenue
Berkeley, CA 94704
(37.87185935100047, -122.27013553099971)"
Cafe Zeb,Restaurant,642-9093,2745 Bancroft Way,Berkeley,94720,"2745 Bancroft Way
Berkeley, CA 94720
(37.869497916000455, -122.25328294199971)"
Caffe 817,Restaurant,510-271-7965,817 Washington Street,Oakland,94607,"817 Washington Street
Oakland, CA 94607
(37.800851726000474, -122.2749251249997)"
CAFFE STRADA,Restaurant,510-843-5282,2300 COLLEGE AV,Berkeley,94704,"2300 COLLEGE AV
Berkeley, CA 94704
(37.8692238430005, -122.25465668799973)"
Caledonian Building Services,Cleaning Services,925-803-3500,6370 Clark Avenue,Dublin,94568,"6370 Clark Avenue
Dublin, CA 94568
(37.704850225000484, -121.92040298999973)"
California Rose Catering Inc,Restaurant,510 644 4473,1012 Grayson Street #B,Berkeley,94710,"1012 Grayson Street #B
Berkeley, CA 94710
(37.855863403000455, -122.28948446399971)"
California State University East Bay/The Oakland Center,Office/Retail,510-208-7004,"1000 Broadway, Suite 109",Oakland,94607,"1000 Broadway, Suite 109
Oakland, CA 94607
(37.80187327800047, -122.2726717699997)"
Cancun,Restaurant,510-549-0964,2134 Allston Way,Berkeley,94704,"2134 Allston Way
Berkeley, CA 94704
(37.86952319900047, -122.26681604899971)"
Castro Valley/Eden Area Chamber of Commerce,Office/Retail,510-537-5300,3467 Castro Valley Blvd,Castro Valley,94546,"3467 Castro Valley Blvd
Castro Valley, CA 94546
(37.69557148500047, -122.07495934799971)"
Cato's Ale House,Restaurant,5106553349,3891 Piedmont Ave,Oakland,94611,"3891 Piedmont Ave
Oakland, CA 94611
(37.824863852000476, -122.25448752999972)"
CE2 Corporation,Office/Retail,925-463-7301,"6140 Stoneridge Mall Road, Suite 500",Pleasanton,94588,"6140 Stoneridge Mall Road, Suite 500
Pleasanton, CA 94588
(37.69715289600049, -121.92616274499971)"
"CEC Print Solutions, Inc.",Printer,510-670-0160,20939 Cabot Blvd.,Hayward,94545,"20939 Cabot Blvd.
Hayward, CA 94545
(37.65077222800045, -122.13810507799968)"
Cellotape Inc.,Small Manufacturer,510-651-5551,47623 Fremont Blvd,Fremont,94538,"47623 Fremont Blvd
Fremont, CA 94538
(37.474008926000465, -121.9423808949997)"
Center for Environmental Health,Office/Retail,510-655-3900,"2201 Broadway, Suite 302",Oakland,94612,"2201 Broadway, Suite 302
Oakland, CA 94612
(37.81107850900048, -122.26703634999973)"
Centerpointe Presbyterian Church,Schools,925-846-4436,3410 Cornerstone Court,Pleasanton,94566,"3410 Cornerstone Court
Pleasanton, CA 94566
(37.67700334600045, -121.86186286699973)"
CH2M HILL,Office/Retail,510-251-2426,155 Grand Avenue,Oakland,94612,"155 Grand Avenue
Oakland, CA 94612
(37.811103382000454, -122.26385384099973)"
Chabot Space & Science Center,Hotel,510-336-7300,10000 Skyline Blvd.,Oakland,94619,"10000 Skyline Blvd.
Oakland, CA 94619
(37.81719538000044, -122.1804052329997)"
Checkers Catering and Special Events,Restaurant,925-968-1121,83 Wright Brothers Ave.,Livermore,94551,"83 Wright Brothers Ave.
Livermore, CA 94551
(37.689873141000476, -121.80339922699972)"
Chez Panisse,Restaurant,510-548-5072,1517 Shattuck Avenue,Berkeley,94709,"1517 Shattuck Avenue
Berkeley, CA 94709
(37.87954448800048, -122.26914459899967)"
Christine Buck Communications,Office/Retail,510-521-9892,1131 Bay St.,Alameda,94501,"1131 Bay St.
Alameda, CA 94501
(37.76691187600045, -122.26489375299968)"
Circlepoint,Office/Retail,510-285-6700,"1814 Franklin St., Suite 1000",Oakland,94612,"1814 Franklin St., Suite 1000
Oakland, CA 94612
(37.80708349600047, -122.26788201799968)"
"City of Alameda Public Works Department, Administration",Office/Retail,510-747-7930,"950 W. Mall Square, Room 110",Alameda,94501,"950 W. Mall Square, Room 110
Alameda, CA 94501
(37.786585766000485, -122.30280209399973)"
"City of Alameda Public Works Department, Central Equipment Garage",Auto Repair,510-747-7930,2040 Grand Street,Alameda,94501,"2040 Grand Street
Alameda, CA 94501
(37.77693384200046, -122.25240041999967)"
City of Albany Community Center,Office/Retail,510-524-9283,1249 Marin Ave,Albany,94706,"1249 Marin Ave
Albany, CA 94706
(37.887673375000475, -122.29314650099968)"
City of Dublin Civic Center,Office/Retail,925-833-6650,100 Civic Plaza,Dublin,94568,"100 Civic Plaza
Dublin, CA 94568
(37.70436316000047, -121.9163092279997)"
City of Hayward - City Hall,Office/Retail,510-583-4713,777 B Street,Hayward,94541,"777 B Street
Hayward, CA 94541
(37.67130909000048, -122.08558174399968)"
City of Hayward - Main Library,Office/Retail,510-583-4713,835 C Street,Hayward,94541,"835 C Street
Hayward, CA 94541
(37.67058621600046, -122.08374423299972)"
City of Hayward - Utilities Center,Office/Retail,510-583-4713,24499 Soto Road,Hayward,94544,"24499 Soto Road
Hayward, CA 94544
(37.65874636400048, -122.0875824479997)"
City of Hayward - Weekes Branch Library,Office/Retail,510-583-4713,27300 Patrick Ave,Hayward,94544,"27300 Patrick Ave
Hayward, CA 94544
(37.63349399900045, -122.07933411199969)"
City of Oakland - City Center Complex,Office/Retail,510-238-6259,1 Frank Ogawa Plaza (City Hall),Oakland,94612,"1 Frank Ogawa Plaza (City Hall)
Oakland, CA 94612
(37.80648315500048, -122.26912945299972)"
City of Oakland 81st Avenue Library,Office/Retail,510-238-6259,1021 81st Avenue,Oakland,94621,"1021 81st Avenue
Oakland, CA 94621
(37.752929769000446, -122.18583810999968)"
City of Oakland Fire Station 18,Office/Retail,510-238-6259,Fire Station 18,Oakland,94601,"Fire Station 18
Oakland, CA 94601
(37.77926169600045, -122.21877952899968)"
City of Oakland Studio One Arts Center,Schools,510-238-6259,365 45th Street,Oakland,94609,"365 45th Street
Oakland, CA 94609
(37.8333134290005, -122.25730997799968)"
City of Pleasanton Operations Service Center,Auto Repair,925.931.5582,3333 Busch Road,Pleasanton,94566,"3333 Busch Road
Pleasanton, CA 94566
(37.67602678300045, -121.86155433899972)"
City of San Leandro PWD Equipment Maintenance,Auto Repair,510-577-3447,14200 Chapman Rd,San Leandro,94578,"14200 Chapman Rd
San Leandro, CA 94578
(37.70456027500046, -122.14385978899969)"
Clearwater Hydrology,Office/Retail,510-841-1836,2974 Adeline St.,Berkeley,94703,"2974 Adeline St.
Berkeley, CA 94703
(37.85491053500044, -122.2690963009997)"
Clif Bar & Company HQ,Office/Retail,510-596-6300,1451 66 Street,Emeryville,94608,"1451 66 Street
Emeryville, CA 94608
(37.84743214700046, -122.29342169799969)"
"Coe Studios, LLC",Office/Retail,510-527-2950,1214 4th Street,Berkeley,94710,"1214 4th Street
Berkeley, CA 94710
(37.88020065100045, -122.3039318919997)"
Cohousing California,Office/Retail,510-868-1627,2150 Allston Way #400,Berkeley,94704,"2150 Allston Way #400
Berkeley, CA 94704
(37.86953543800047, -122.26670798099968)"
Communitarian Visions,Office/Retail,510-549-8790,2150 Allston Way #400,Berkeley,94702,"2150 Allston Way #400
Berkeley, CA 94702
(37.86953543800047, -122.26670798099968)"
Community Design + Architecture,Office/Retail,510.839.4568,"350 Frank Ogawa Plaza, Fifth floor",Oakland,94612,"350 Frank Ogawa Plaza, Fifth floor
Oakland, CA 94612
(37.80648315500048, -122.26912945299972)"
Componere Fine Catering,Restaurant,1 (510) 420-0900,5836 San Pablo Avenue,Emeryville,94608,"5836 San Pablo Avenue
Emeryville, CA 94608
(37.841423748000466, -122.28311439399971)"
Computer Techs Personnel Staffing,Office/Retail,510-638-3471,"9308 International Blvd., #C",Oakland,94603,"9308 International Blvd., #C
Oakland, CA 94603
(37.74776496700048, -122.17287465799973)"
Conscious Creative,Office/Retail,510-540-4800,"2703 7th Street, Studio 365, Mailbox 119",Berkeley,94710,"2703 7th Street, Studio 365, Mailbox 119
Berkeley, CA 94710
(37.85678013600045, -122.29292754299968)"
